binom_name,ES,filename
Alauda.arvensis,PC,Alauda.arvensis_glo_ensemble.tif
Alytes.obstetricans,PC,Alytes.obstetricans_glo_ensemble.tif
Anguis.fragilis,PC,Anguis.fragilis_glo_ensemble.tif
Anthus.pratensis,PC,Anthus.pratensis_glo_ensemble.tif
Apus.apus,PC,Apus.apus_glo_ensemble.tif
Athene.noctua,PC,Athene.noctua_glo_ensemble.tif
Bufo.bufo,PC,Bufo.bufo_glo_ensemble.tif
Buteo.buteo,PC,Buteo.buteo_glo_ensemble.tif
Caprimulgus.europaeus,PC,Caprimulgus.europaeus_glo_ensemble.tif
Ciconia.ciconia,PC,Ciconia.ciconia_glo_ensemble.tif
Corvus.corax,PC,Corvus.corax_glo_ensemble.tif
Corvus.corone,PC,Corvus.corone_glo_ensemble.tif
Corvus.frugilegus,PC,Corvus.frugilegus_glo_ensemble.tif
Corvus.monedula,PC,Corvus.monedula_glo_ensemble.tif
Crocidura.russula,PC,Crocidura.russula_glo_ensemble.tif
Crocidura.suaveolens,PC,Crocidura.suaveolens_glo_ensemble.tif
Cuculus.canorus,PC,Cuculus.canorus_glo_ensemble.tif
Emberiza.citrinella,PC,Emberiza.citrinella_glo_ensemble.tif
Emberiza.hortulana,PC,Emberiza.hortulana_glo_ensemble.tif
Erinaceus.europaeus,PC,Erinaceus.europaeus_glo_ensemble.tif
Falco.subbuteo,PC,Falco.subbuteo_glo_ensemble.tif
Falco.tinnunculus,PC,Falco.tinnunculus_glo_ensemble.tif
Glis.glis,PC,Glis.glis_glo_ensemble.tif
Lacerta.agilis,PC,Lacerta.agilis_glo_ensemble.tif
Lanius.collurio,PC,Lanius.collurio_glo_ensemble.tif
Lanius.senator,PC,Lanius.senator_glo_ensemble.tif
Lullula.arborea,PC,Lullula.arborea_glo_ensemble.tif
Martes.martes,PC,Martes.martes_glo_ensemble.tif
Meles.meles,PC,Meles.meles_glo_ensemble.tif
Merops.apiaster,PC,Merops.apiaster_glo_ensemble.tif
Milvus.migrans,PC,Milvus.migrans_glo_ensemble.tif
Milvus.milvus,PC,Milvus.milvus_glo_ensemble.tif
Mustela.nivalis,PC,Mustela.nivalis_glo_ensemble.tif
Mustela.putorius,PC,Mustela.putorius_glo_ensemble.tif
Oenanthe.oenanthe,PC,Oenanthe.oenanthe_glo_ensemble.tif
Otus.scops,PC,Otus.scops_glo_ensemble.tif
Parus.major,PC,Parus.major_glo_ensemble.tif
Pica.pica,PC,Pica.pica_glo_ensemble.tif
Saxicola.rubetra,PC,Saxicola.rubetra_glo_ensemble.tif
Sorex.araneus,PC,Sorex.araneus_glo_ensemble.tif
Sorex.coronatus,PC,Sorex.coronatus_glo_ensemble.tif
Sturnus.vulgaris,PC,Sturnus.vulgaris_glo_ensemble.tif
Talpa.europaea,PC,Talpa.europaea_glo_ensemble.tif
Turdus.merula,PC,Turdus.merula_glo_ensemble.tif
Turdus.pilaris,PC,Turdus.pilaris_glo_ensemble.tif
Turdus.viscivorus,PC,Turdus.viscivorus_glo_ensemble.tif
Tyto.alba,PC,Tyto.alba_glo_ensemble.tif
Upupa.epops,PC,Upupa.epops_glo_ensemble.tif
Vanellus.vanellus,PC,Vanellus.vanellus_glo_ensemble.tif
Vulpes.vulpes,PC,Vulpes.vulpes_glo_ensemble.tif
