lucode;LULC_desc;usle_p;usle_c
0;others;0;0
1;Industrial and commercial buildings;0.5;0
2;Surrounding of industrial and commercial buildings ;0.5;0.1
3;Surroundings of one- and two family houses;0.5;0
4;Surroundings of one- and two family houses;0.5;0.1
5;Terraced housed;0.5;0
6;Surroundings of terraced houses;0.5;0.1
7;Blocks of flats;0.5;0
8;Surroundings of blocks of flats;0.5;0.1
9;Public buildings;0.5;0
10;Surroundings of public buildings;0.5;0.1
11;Agricultural buildings;0.5;0
12;Surroundings of agricultural buildings;0.5;0.1
13;Unspecified buildings;0.5;0
14;Surroundings of unspecified buildings;0.5;0.1
15;Motorways;0.5;0
16;Green motorways environs;0.5;0.1
17;Roads and paths;0.5;0
18;Green road environs;0.5;0.1
19;Parking areas;0.5;0
20;Sealed railway;0.5;0
21;Green railway environs;0.5;0.1
22;Airports;0.5;0
23;Airfield, green airport environs;0.5;0.1
24;Energy supply plants;0.5;0
25;Waste water treatment plants;0.5;0
26;Other supply or waste treatment plant;0.5;0
27;Dumps;0.5;0
28;Quarries, mines;0.5;0
29;Construction sites;0.5;0
30;Unexploited urban areas;0.5;0
31;Public parks;0.5;0.1
32;Sport facilities;0.5;0.1
33;Golf courses;0.5;0.1
34;Camping areas;0.5;0.1
35;Garden allotments;0.5;0.1
36;Cemeteries;0.5;0
37;Intensive orchards;0.5;0.2188
38;Field fruit trees;0.61;0.2188
39;Vineyards;0.8;0.3527
40;Horticulture;0.51;0.2188
41;Arable land;0.52;0.344
42;Meadows;0.68;0.0012
43;Farm pastures;0.71;0.0903
44;Brush meadows and farm pastures;0.92;0.0903
45;Alpine meadows;0.87;0.0903
46;Favourable alpine pastures;0.92;0.0903
47;Brush alpine pastures;1;0.0903
48;Rocky alpine pastures;1;0.0903
49;Sheep pastures;1;0.0903
50;Normal dense forest;1;0.0011
51;Forest strips;1;0.0011
52;Afforestation;1;0.0011
53;Felling areas;1;0.0011
54;Damaged forest areas;1;0.3427
55;Open forest (on agricultural areas);1;0.0011
56;Open forest (on unproductive areas);1;0.0011
57;Brush forest;1;0.0219
58;Groves, hedges;1;0.0011
59;Cluster of trees (on agricultural areas);1;0.0881
60;Cluster of trees (on unproductive areas);1;0.0219
61;Lakes;1;0
62;Rivers;1;0
63;Flood protection structures;1;0
64;Scrub vegetation;1;0.003
65;Unproductive grass and shrubs;1;0.003
66;Avalanche and rockfall barriers;1;0
67;Wetlands;1;0
68;Alpine sport facilities;1;0
69;Rocks;1;0.45
70;Screes, sand;1;0.45
71;Landscape interventions;1;0
72;Glaciers, perpetual snow;1;0
255;nodata;0;0
-32768;nodata;0;0
