"longitude","latitude"
2614586.08788167,1136642.94343696
2733998.7696987,1182755.46250373
2500473.63783471,1117483.98028264
2644583.70411949,1168820.19467732
2623945.25353814,1096405.26433734
2541840.62347642,1150384.09768598
2554357.65615954,1145392.47683562
2613530.50132131,1259449.54154181
2600396.48567696,1196216.79400347
2561404.42831862,1142477.10476007
2596106.65524375,1136423.46190116
2717403.1363835,1095809.43622187
2718160.62340918,1134497.118312
2633831.41306163,1156601.188721
2572353.65596057,1159207.29122504
2759849.06714779,1191303.42748168
2662189.81694138,1203473.36797333
2563180.22912612,1097775.86600967
2620508.96659134,1241362.06156859
2664041.22671128,1180554.03252006
2617480.28487396,1148244.84807475
2704288.13581627,1175393.15888183
2500947.83837338,1118447.79852841
2614864.23128623,1136319.01601764
2626620.90827593,1092445.10209353
2799578.38772094,1164829.28845291
2722288.38253502,1116700.98119484
2526470.97765944,1199020.53106885
2500433.36019257,1117452.40104833
2500744.31462221,1118886.0743376
2579113.9838369,1183354.41544405
2645391.29993048,1163902.98636238
2655171.53623464,1182997.36112575
2626656.92385817,1092450.03985129
2780664.3480282,1141984.40432109
2714781.87807165,1087303.88254184
2688492.2634697,1281656.83320741
2763340.43287107,1134398.32130014
2681856.06147677,1194981.65445857
2734787.28649332,1146628.73347726
2679533.22391288,1244848.40605181
2576374.77728454,1137191.17552881
2554428.47653711,1145380.48937507
2623482.8577774,1096091.19251428
2680477.2602187,1130359.19494244
2635168.78547922,1156896.77166633
2686788.11835202,1183505.88603439
2690174.78242316,1283598.33870821
2507741.8781795,1137421.0223896
2823797.32125191,1174332.03195896
2702747.21161662,1107274.91170278
2635156.71836359,1156849.12149055
2586817.48366818,1105302.95458659
2694040.44097133,1234764.45590878
2635596.36731932,1104303.21296546
2754258.14912775,1171048.06398731
2679507.25099221,1212265.20586876
2641758.91205764,1155276.44785746
2497166.7951911,1120674.52250415
2536287.22332624,1188011.99635465
2713883.01632054,1090637.73549006
2501212.3110057,1118033.99405449
2687234.97572075,1206196.88023602
2683331.52623632,1247217.38317222
2571059.33044795,1099539.80051208
2565372.27623742,1131789.03464396
2705651.6644874,1114234.14958371
2667834.36709043,1180882.47572672
2646317.31559061,1181736.20528857
2617390.79024095,1153591.55870201
2631522.08981372,1170372.68132594
2679383.73771569,1245109.03643615
2572776.73592102,1159288.06286122
2679263.15337533,1242184.21658316
2560838.20367136,1140355.1306536
2666351.7467836,1211460.56124411
2687431.89555899,1203309.54934636
2641753.16599227,1155275.5186782
2622953.24842973,1149484.10023074
2562268.06253012,1114908.9877494
2775818.50620117,1134270.85205428
2684923.25122567,1248800.69157208
2677432.8132324,1212934.68264743
2689459.74580457,1198526.57890675
2717381.87867092,1095790.79069353
