binom_name,filename
Abies.alba,Abies.alba_reg_covariate_ensemble.tif
Acer.campestre,Acer.campestre_reg_covariate_ensemble.tif
Achillea.millefolium,Achillea.millefolium_reg_covariate_ensemble.tif
Aconitum.napellus,Aconitum.napellus_reg_covariate_ensemble.tif
Acorus.calamus,Acorus.calamus_reg_covariate_ensemble.tif
Actaea.spicata,Actaea.spicata_reg_covariate_ensemble.tif
Adonis.vernalis,Adonis.vernalis_reg_covariate_ensemble.tif
Aegopodium.podagraria,Aegopodium.podagraria_reg_covariate_ensemble.tif
Aesculus.hippocastanum,Aesculus.hippocastanum_reg_covariate_ensemble.tif
Aethusa.cynapium,Aethusa.cynapium_reg_covariate_ensemble.tif
Agrimonia.eupatoria,Agrimonia.eupatoria_reg_covariate_ensemble.tif
Agrimonia.procera,Agrimonia.procera_reg_covariate_ensemble.tif
Ailanthus.altissima,Ailanthus.altissima_reg_covariate_ensemble.tif
Ajuga.chamaepitys,Ajuga.chamaepitys_reg_covariate_ensemble.tif
Ajuga.reptans,Ajuga.reptans_reg_covariate_ensemble.tif
Alcea.rosea,Alcea.rosea_reg_covariate_ensemble.tif
Alchemilla.alpina,Alchemilla.alpina_reg_covariate_ensemble.tif
Alliaria.petiolata,Alliaria.petiolata_reg_covariate_ensemble.tif
Allium.schoenoprasum,Allium.schoenoprasum_reg_covariate_ensemble.tif
Allium.ursinum,Allium.ursinum_reg_covariate_ensemble.tif
Alnus.glutinosa,Alnus.glutinosa_reg_covariate_ensemble.tif
Althaea.hirsuta,Althaea.hirsuta_reg_covariate_ensemble.tif
Ammi.majus,Ammi.majus_reg_covariate_ensemble.tif
Anagallis.arvensis,Anagallis.arvensis_reg_covariate_ensemble.tif
Anemone.nemorosa,Anemone.nemorosa_reg_covariate_ensemble.tif
Anethum.graveolens,Anethum.graveolens_reg_covariate_ensemble.tif
Angelica.sylvestris,Angelica.sylvestris_reg_covariate_ensemble.tif
Antennaria.dioica,Antennaria.dioica_reg_covariate_ensemble.tif
Anthriscus.cerefolium,Anthriscus.cerefolium_reg_covariate_ensemble.tif
Anthyllis.vulneraria,Anthyllis.vulneraria_reg_covariate_ensemble.tif
Antirrhinum.majus,Antirrhinum.majus_reg_covariate_ensemble.tif
Aquilegia.vulgaris,Aquilegia.vulgaris_reg_covariate_ensemble.tif
Arctium.lappa,Arctium.lappa_reg_covariate_ensemble.tif
Arctium.tomentosum,Arctium.tomentosum_reg_covariate_ensemble.tif
Aristolochia.clematitis,Aristolochia.clematitis_reg_covariate_ensemble.tif
Armoracia.rusticana,Armoracia.rusticana_reg_covariate_ensemble.tif
Arnica.montana,Arnica.montana_reg_covariate_ensemble.tif
Artemisia.absinthium,Artemisia.absinthium_reg_covariate_ensemble.tif
Artemisia.vulgaris,Artemisia.vulgaris_reg_covariate_ensemble.tif
Arum.maculatum,Arum.maculatum_reg_covariate_ensemble.tif
Asarum.europaeum,Asarum.europaeum_reg_covariate_ensemble.tif
Asparagus.officinalis,Asparagus.officinalis_reg_covariate_ensemble.tif
Asparagus.tenuifolius,Asparagus.tenuifolius_reg_covariate_ensemble.tif
Astrantia.major,Astrantia.major_reg_covariate_ensemble.tif
Avena.sativa,Avena.sativa_reg_covariate_ensemble.tif
Ballota.nigra,Ballota.nigra_reg_covariate_ensemble.tif
Bellis.perennis,Bellis.perennis_reg_covariate_ensemble.tif
Berberis.vulgaris,Berberis.vulgaris_reg_covariate_ensemble.tif
Beta.vulgaris,Beta.vulgaris_reg_covariate_ensemble.tif
Borago.officinalis,Borago.officinalis_reg_covariate_ensemble.tif
Bromus.ramosus,Bromus.ramosus_reg_covariate_ensemble.tif
Bryonia.dioica,Bryonia.dioica_reg_covariate_ensemble.tif
Bupleurum.falcatum,Bupleurum.falcatum_reg_covariate_ensemble.tif
Buxus.sempervirens,Buxus.sempervirens_reg_covariate_ensemble.tif
Calamintha.nepeta,Calamintha.nepeta_reg_covariate_ensemble.tif
Calendula.officinalis,Calendula.officinalis_reg_covariate_ensemble.tif
Calluna.vulgaris,Calluna.vulgaris_reg_covariate_ensemble.tif
Caltha.palustris,Caltha.palustris_reg_covariate_ensemble.tif
Campanula.rapunculus,Campanula.rapunculus_reg_covariate_ensemble.tif
Cannabis.sativa,Cannabis.sativa_reg_covariate_ensemble.tif
Cardamine.pratensis,Cardamine.pratensis_reg_covariate_ensemble.tif
Carlina.acaulis,Carlina.acaulis_reg_covariate_ensemble.tif
Carlina.vulgaris,Carlina.vulgaris_reg_covariate_ensemble.tif
Carpinus.betulus,Carpinus.betulus_reg_covariate_ensemble.tif
Carum.carvi,Carum.carvi_reg_covariate_ensemble.tif
Castanea.sativa,Castanea.sativa_reg_covariate_ensemble.tif
Celtis.australis,Celtis.australis_reg_covariate_ensemble.tif
Centaurea.cyanus,Centaurea.cyanus_reg_covariate_ensemble.tif
Centaurium.erythraea,Centaurium.erythraea_reg_covariate_ensemble.tif
Chelidonium.majus,Chelidonium.majus_reg_covariate_ensemble.tif
Chrysosplenium.alternifolium,Chrysosplenium.alternifolium_reg_covariate_ensemble.tif
Cichorium.intybus,Cichorium.intybus_reg_covariate_ensemble.tif
Cicuta.virosa,Cicuta.virosa_reg_covariate_ensemble.tif
Cirsium.arvense,Cirsium.arvense_reg_covariate_ensemble.tif
Clematis.recta,Clematis.recta_reg_covariate_ensemble.tif
Clematis.vitalba,Clematis.vitalba_reg_covariate_ensemble.tif
Colchicum.autumnale,Colchicum.autumnale_reg_covariate_ensemble.tif
Colutea.arborescens,Colutea.arborescens_reg_covariate_ensemble.tif
Conium.maculatum,Conium.maculatum_reg_covariate_ensemble.tif
Convallaria.majalis,Convallaria.majalis_reg_covariate_ensemble.tif
Conyza.canadensis,Conyza.canadensis_reg_covariate_ensemble.tif
Cornus.mas,Cornus.mas_reg_covariate_ensemble.tif
Cornus.sanguinea,Cornus.sanguinea_reg_covariate_ensemble.tif
Corydalis.cava,Corydalis.cava_reg_covariate_ensemble.tif
Corylus.avellana,Corylus.avellana_reg_covariate_ensemble.tif
Crataegus.monogyna,Crataegus.monogyna_reg_covariate_ensemble.tif
Cuscuta.epithymum,Cuscuta.epithymum_reg_covariate_ensemble.tif
Cyclamen.purpurascens,Cyclamen.purpurascens_reg_covariate_ensemble.tif
Cydonia.oblonga,Cydonia.oblonga_reg_covariate_ensemble.tif
Cynoglossum.officinale,Cynoglossum.officinale_reg_covariate_ensemble.tif
Cypripedium.calceolus,Cypripedium.calceolus_reg_covariate_ensemble.tif
Cytisus.scoparius,Cytisus.scoparius_reg_covariate_ensemble.tif
Daphne.mezereum,Daphne.mezereum_reg_covariate_ensemble.tif
Datura.stramonium,Datura.stramonium_reg_covariate_ensemble.tif
Daucus.carota,Daucus.carota_reg_covariate_ensemble.tif
Dictamnus.albus,Dictamnus.albus_reg_covariate_ensemble.tif
Digitalis.purpurea,Digitalis.purpurea_reg_covariate_ensemble.tif
Diplotaxis.tenuifolia,Diplotaxis.tenuifolia_reg_covariate_ensemble.tif
Dipsacus.fullonum,Dipsacus.fullonum_reg_covariate_ensemble.tif
Drosera.rotundifolia,Drosera.rotundifolia_reg_covariate_ensemble.tif
Dryas.octopetala,Dryas.octopetala_reg_covariate_ensemble.tif
Echium.vulgare,Echium.vulgare_reg_covariate_ensemble.tif
Elymus.repens,Elymus.repens_reg_covariate_ensemble.tif
Epilobium.anagallidifolium,Epilobium.anagallidifolium_reg_covariate_ensemble.tif
Epilobium.angustifolium,Epilobium.angustifolium_reg_covariate_ensemble.tif
Epilobium.fleischeri,Epilobium.fleischeri_reg_covariate_ensemble.tif
Epilobium.hirsutum,Epilobium.hirsutum_reg_covariate_ensemble.tif
Epilobium.montanum,Epilobium.montanum_reg_covariate_ensemble.tif
Epilobium.palustre,Epilobium.palustre_reg_covariate_ensemble.tif
Epilobium.parviflorum,Epilobium.parviflorum_reg_covariate_ensemble.tif
Epilobium.roseum,Epilobium.roseum_reg_covariate_ensemble.tif
Equisetum.arvense,Equisetum.arvense_reg_covariate_ensemble.tif
Erica.carnea,Erica.carnea_reg_covariate_ensemble.tif
Erodium.cicutarium,Erodium.cicutarium_reg_covariate_ensemble.tif
Erophila.verna,Erophila.verna_reg_covariate_ensemble.tif
Eruca.sativa,Eruca.sativa_reg_covariate_ensemble.tif
Eryngium.alpinum,Eryngium.alpinum_reg_covariate_ensemble.tif
Eryngium.campestre,Eryngium.campestre_reg_covariate_ensemble.tif
Erysimum.cheiri,Erysimum.cheiri_reg_covariate_ensemble.tif
Euonymus.europaeus,Euonymus.europaeus_reg_covariate_ensemble.tif
Eupatorium.cannabinum,Eupatorium.cannabinum_reg_covariate_ensemble.tif
Euphorbia.peplus,Euphorbia.peplus_reg_covariate_ensemble.tif
Euphrasia.rostkoviana,Euphrasia.rostkoviana_reg_covariate_ensemble.tif
Fagopyrum.esculentum,Fagopyrum.esculentum_reg_covariate_ensemble.tif
Fagus.sylvatica,Fagus.sylvatica_reg_covariate_ensemble.tif
Ficus.carica,Ficus.carica_reg_covariate_ensemble.tif
Filipendula.ulmaria,Filipendula.ulmaria_reg_covariate_ensemble.tif
Foeniculum.vulgare,Foeniculum.vulgare_reg_covariate_ensemble.tif
