lucode;LULC_name;LULC_veg;root_depth;Kc
0;other;0;0;0
1;Industrial and commercial buildings;0;1;0.33276775
2;Surroundings of industrial and commercial buildings;0;1;0.33276775
3;One- and two-family houses;0;1;0.33276775
4;Surroundings of one- and two-family houses;0;1;0.33276775
5;Terraced houses;0;1;0.33276775
6;Surroundings of terraced houses;0;1;0.33276775
7;Blocks of flats;0;1;0.33276775
8;Surroundings of blocks of flats;0;1;0.33276775
9;Public buildings;0;1;0.33276775
10;Surroundings of public buildings;0;1;0.33276775
11;Agricultural buildings;0;1;0.33276775
12;Surroundings of agricultural buildings;0;1;0.33276775
13;Unspecified buildings;0;1;0.33276775
14;Surroundings of unspecified buildings;0;1;0.33276775
15;Motorways;0;1;0.4567675
16;Green motorway environs;1;700;1.26
17;Roads and paths;0;1;0.4567675
18;Green road environs;1;700;1.26
19;Parking areas;0;1;0.4567675
20;Sealed railway areas;0;1;0.4567675
21;Green railway environs;1;700;1.26
22;Airports;0;1;0.33276775
23;Airfields, green airport environs;1;550;0.730029563
24;Energy supply plants;0;1;0.33276775
25;Waste water treatment plants;0;1;0.33276775
26;Other supply or waste treatment plants;0;1;0.33276775
27;Dumps;0;1;0.398789417
28;Quarries, mines;0;1;0.398789417
29;Construction sites;0;1;0.398789417
30;Unexploited urban areas;0;1;0.398789417
31;Public parks;1;550;0.730029563
32;Sports facilities;0;1;0.940982
33;Golf courses;1;550;0.730029563
34;Camping areas;1;550;0.730029563
35;Garden allotments;1;550;0.730029563
36;Cemeteries;1;550;0.730029563
37;Intensive orchards;1;1200;13.125
38;Field fruit trees;1;1200;13.125
39;Vineyards;1;1500;0.7
40;Horticulture;1;1500;1.225
41;Arable land;1;1500;1.225
42;Meadows;1;1500;1.225
43;Farm pastures;1;700;1.26
44;Brush meadows and farm pastures;1;700;1.26
45;Alpine meadows;1;700;1.26
46;Favorable alpine pastures;1;700;1.26
47;Brush alpine pastures;1;700;1.26
48;Rocky alpine pastures;1;700;1.26
49;Sheep pastures;1;700;1.26
50;Normal dense forest;1;3000;1.225
51;Forest strips;1;3000;1.225
52;Afforestations;1;700;1.26
53;Felling areas;0;1;0.35
54;Damaged forest areas;1;3000;1.225
55;Open forest (on agricultural areas);1;3000;1.225
56;Open forest (on unproductive areas);1;3000;1.225
57;Brush forest;1;3000;1.225
58;Groves, hedges;1;3000;1.225
59;Clusters of trees (on agricultural areas);1;3000;1.225
60;Clusters of trees (on unproductive areas);1;3000;1.225
61;Lakes;0;0;1.75
62;Rivers;0;0;1.75
63;Flood protection structures;0;1;0.4567675
64;Scrub vegetation;1;3000;1.225
65;Unproductive grass und shrubs;1;700;1.26
66;Avalanche and rockfall barriers;0;1;0.4567675
67;Wetlands;1;2500;1.925
68;Alpine sports facilities;1;550;0.730029563
69;Rocks;0;1;0.35
70;Screes, sand;0;1;0.35
71;Landscape interventions;0;1;0.4567675
72;Glaciers, perpetual snow;0;0;1.75
255;Nodata;0;0;0
